"channel_id","channel_name","channel_url"
"197","Udacity","https://www.youtube.com/watch?v=6xnEyz6Qwjg"
"198","LEARN & APPLY : Lean and Six Sigma","https://www.youtube.com/watch?v=xTpHD5WLuoA"
"199","Kenji Explains","https://www.youtube.com/watch?v=_g5roKHj95o"
"200","Marginal Revolution University","https://www.youtube.com/watch?v=LTqFq9wtcdI"
"201","Bhavesh Bhatt","https://www.youtube.com/watch?v=U7D1h5bbpcs"
"202","Dr.Gajendra Purohit","https://www.youtube.com/watch?v=ddYNq1TxtM0"
"203","RANJI RAJ","https://www.youtube.com/watch?v=WxINg-eof2M"
"204","TJ Academy","https://www.youtube.com/watch?v=bwAyNakLqUw"
"205","Kevin Stratvert","https://www.youtube.com/watch?v=b-cFv2DvEqE"
"206","Brandon Foltz","https://www.youtube.com/watch?v=NmjT1_nClzg"
"207","Dr Nic's Maths and Stats","https://www.youtube.com/watch?v=hZxnzfnt5v8"
"208","Quantitative Specialists","https://www.youtube.com/watch?v=KIBZUk39ncI"
"209","Data Mining - IITKGP","https://www.youtube.com/watch?v=VsYKqOokgaE"
"210","Forsyth Tech CTLE","https://www.youtube.com/watch?v=sMg_3NY76UE"
"211","ailuropoda8","https://www.youtube.com/watch?v=Fv_dCWzppQM"
"212","Digital E-Learning","https://www.youtube.com/watch?v=KLAEwukvuZs"
"213","Professor CarolJM","https://www.youtube.com/watch?v=DMD4juLdehQ"
"214","TensorFlow","https://www.youtube.com/watch?v=3xualF8abC4"
"215","Leo Isikdogan","https://www.youtube.com/watch?v=GI_QVLNCgPo"
"216","Google Open Source","https://www.youtube.com/watch?v=3Mox39sztxU"
"217","Packt ","https://www.youtube.com/watch?v=K_BHmztRTpA"
"218","Siraj Raval","https://www.youtube.com/watch?v=j_pJmXJwMLA"
"219","Mısra Turp","https://www.youtube.com/watch?v=NBhas7xb3h4"
"220","Sundog Education with Frank Kane","https://www.youtube.com/watch?v=Lsw3Nq_LsKc"
"221","Weights & Biases","https://www.youtube.com/watch?v=Qf4YJcHXtcY"
"222","Jeff Heaton","https://www.youtube.com/watch?v=XNCEZ4WaPBY"
"223","DeepLearningAI","https://www.youtube.com/watch?v=JXQT_vxqwIs"
"224","StatQuest with Josh Starmer","https://www.youtube.com/watch?v=L8HKweZIOmg"
"225","TED","https://www.youtube.com/watch?v=reUZRyXxUs4"
"226","IIT Bombay July 2018","https://www.youtube.com/watch?v=iwf9rDkGEmQ"
"227","AIEngineering","https://www.youtube.com/watch?v=AnZWCB1gpfE"
"228","Decisive Data","https://www.youtube.com/watch?v=N2rZKLtKni0"
"229","Biodemography","https://www.youtube.com/watch?v=LjxmrHxN8cE"
"230","IST OnlineLearning","https://www.youtube.com/watch?v=htFTQ4ibMbw"
"231","CareerTrek","https://www.youtube.com/watch?v=jLla9Z7XKyg"
"232","Management Mantra","https://www.youtube.com/watch?v=jWBJ9zturBw"
"233","STAT 545","https://www.youtube.com/watch?v=X8b44P5D-5w"
"234","Quantra","https://www.youtube.com/watch?v=hvflqHTWXVs"
"235","Usama Albaghdady","https://www.youtube.com/watch?v=em4OFr-4C34"
"236","intricity101","https://www.youtube.com/watch?v=4qFZ-5i4GS8"
"237","TechMantra Quest","https://www.youtube.com/watch?v=qS28I2DmzZk"
"238","Intellectual Indies","https://www.youtube.com/watch?v=qcqT5SqE8BY"
"239","Simplilearn","https://www.youtube.com/watch?v=508CR1fd8ws"
"240","Newsthink","https://www.youtube.com/watch?v=BEbVddOm2X8"
"241","RapidMiner, Inc.","https://www.youtube.com/watch?v=gDYvLvzPXG0"
"242","Data Mining","https://www.youtube.com/watch?v=9uvlWViHrzc"
"243","Mitchell R. Wenger (Accounting Systems & Tech)","https://www.youtube.com/watch?v=kX-AM3I34GE"
"244","Technology for Teachers and Students","https://www.youtube.com/watch?v=SlWIgMFpsPg"
"245","KNIMETV","https://www.youtube.com/watch?v=IPocK55TTK4"
"246","Underfitted","https://www.youtube.com/watch?v=Q_uf9Ik2S28"
"247","Jordan Boyd-Graber","https://www.youtube.com/watch?v=kdaX9p6Uc9k"
"248","HuggingFace","https://www.youtube.com/watch?v=M05L1DhFqcw"
"249","TED-Ed","https://www.youtube.com/watch?v=7bUVjJWA6Vw"
"250","Everything Science","https://www.youtube.com/watch?v=DF4GDAqweo8"
"251","CoinGecko","https://www.youtube.com/watch?v=tvW9VKJ58Lg"
"252","Delaware ShoutOut - Social Media Strategies","https://www.youtube.com/watch?v=Cw22bCgrdLU"
"253","Crash Chemistry Academy","https://www.youtube.com/watch?v=TY4Yoyur3X4"
"254","Excel Campus - Jon","https://www.youtube.com/watch?v=9NUjHBNWe9M"
"255","mathantics","https://www.youtube.com/watch?v=ZNX-a-5jGeM"
"256","LearningLad","https://www.youtube.com/watch?v=z600MQdQ9lg"
"257","The Developers House","https://www.youtube.com/watch?v=fZ6HHeJcgxY"
"258","Atish Jain","https://www.youtube.com/watch?v=Ax8_9S9ql34"
"259","The Cherno","https://www.youtube.com/watch?v=f3FVU-iwNuA"
